MPIOS,Forest,Grasslands,Croplands,Other
44847,425,459600,25,286425
44560,0,146250,0,22250
44430,3575,130075,0,51225
44001,36850,80650,0,198025
44090,104400,29525,0,69625
47001,181325,20325,100,38250
44378,2950,5650,0,16200
44078,29825,23725,75,45450
47189,68725,5275,25,27925
08001,0,3025,125,9025
47745,75,21525,950,75625
08573,0,4250,50,4075
44098,9400,9025,0,19650
44279,10250,7525,175,13725
44650,18875,56750,500,64175
47570,875,2125,0,22650
08832,75,2800,0,13400
08296,0,2875,25,7600
08758,0,1150,0,4050
08433,0,3550,0,7600
08372,0,7275,25,11625
20001,32150,155525,725,202475
47053,68250,29975,0,79775
08078,175,775,0,12975
08634,0,1200,25,2075
08558,0,375,0,7175
08549,225,7300,25,16975
08849,200,150,0,9325
13673,175,2300,50,5800
08685,0,675,0,5650
08520,0,850,75,4800
47268,2600,2825,0,16475
47605,525,18475,200,37475
08638,0,4125,0,41200
08560,0,5700,200,14825
08421,700,3625,25,26950
13001,650,19925,200,53650
20570,10000,25650,0,110600
47551,500,19050,25,168075
44874,5175,7075,475,20350
44110,5375,200,0,3850
47288,23475,5950,0,49875
13222,25,575,0,9375
08606,300,5925,100,31550
47675,0,7250,175,11600
08141,0,4325,0,9475
44855,11775,4700,175,16425
08436,0,7175,100,15175
13683,25,400,0,13000
13873,225,300,0,15775
47258,0,6825,25,44500
08137,0,3700,75,6250
20621,14225,38100,1225,89075
13647,0,6275,50,13450
20443,4350,1000,0,15000
13760,0,1450,0,6425
13620,0,1650,25,3000
13836,0,1825,0,17000
20238,6250,13075,0,83475
08675,0,2675,25,4300
47161,75,4425,200,15125
13140,0,4100,200,20350
20750,775,15500,475,14800
08770,0,900,0,2725
13052,925,13750,0,41375
13433,50,3050,0,37800
13838,0,4625,0,14325
47541,0,6900,250,25125
47170,0,1100,0,48050
20013,13575,43075,1150,96525
13248,1375,3475,100,36400
70713,1800,5675,0,95825
13657,2450,1475,0,62150
13442,200,4950,25,42325
20060,25,34475,950,25775
47798,0,11375,100,48900
47555,25,31250,25,118150
47058,75,32350,0,78400
20045,11650,24375,250,105200
13654,1125,800,0,43225
13244,2150,3625,0,77950
20250,75,42625,75,47550
13894,425,2450,25,26950
47707,0,33525,50,80300
47545,225,20975,25,56700
70508,100,8100,0,42600
20400,4975,10800,125,56625
70230,1025,1075,0,7900
13212,1250,28125,175,21550
70823,900,1450,0,24825
70204,1175,1275,0,11475
20178,3275,30575,0,71500
20032,0,8025,0,50825
70717,0,20750,0,1925
20175,2975,17450,0,130825
70418,650,14325,0,8675
70473,200,3500,0,13750
47692,0,5375,50,37325
47703,25,5125,75,22700
13430,0,71625,350,61250
70110,0,8325,0,3450
23672,375,575,0,21825
23675,900,1175,0,33375
70001,25,2325,0,28925
13780,0,7250,25,5850
70742,0,20325,0,18150
70523,25,425,0,24250
70702,0,15400,0,10075
20228,6375,11825,0,78725
47318,0,8925,25,48100
70215,0,16100,0,9975
47245,0,19300,150,62500
23500,0,125,0,28875
23417,25,6700,0,81450
23586,0,1250,0,10200
23464,0,375,0,11600
13468,0,31075,500,30275
13188,0,4225,50,2475
54245,104525,1550,0,74975
23670,0,475,0,28400
54206,51750,675,0,43100
13650,0,22375,150,14125
70670,0,5325,0,18825
23168,0,9225,0,24925
13440,0,18400,225,24250
70235,0,9625,0,18425
23300,0,2300,0,14900
23182,0,4950,0,53975
54800,50250,375,0,34050
23574,0,275,0,45825
54810,168700,4325,0,99125
70678,0,79800,200,73875
23686,0,275,0,44750
20787,0,24800,425,44325
13549,75,28725,0,48725
20517,2125,4500,0,39350
70771,100,48725,0,55725
23189,150,575,0,63900
13300,0,9700,25,5425
