MPIOS,Forest,Grasslands,Croplands,Other
44847,5475,569875,3550,167575
44560,0,150850,25,17625
44430,5325,105050,0,74500
44001,49225,60325,50,205925
44090,110000,27225,0,66325
47001,182300,18825,125,38750
44378,1850,3975,0,18975
44078,36200,15375,175,47325
47189,73050,4850,0,24050
08001,0,2975,250,8950
47745,0,17650,550,79975
08573,100,4875,200,3200
44098,10075,8250,150,19600
44279,9200,6575,100,15800
44650,17175,50225,425,72475
47570,3075,1125,0,21450
08832,650,1900,50,13675
08296,0,1375,0,9125
08758,0,875,0,4325
08433,0,1925,25,9200
08372,50,5975,50,12850
20001,37325,143150,825,209575
47053,72625,29350,0,76025
08078,75,400,0,13450
08634,0,1025,25,2250
08558,0,100,0,7450
08549,375,5200,100,18850
08849,250,175,0,9250
13673,225,1550,75,6475
08685,0,225,0,6100
08520,0,725,25,4975
47268,2400,3250,25,16225
47605,200,9875,725,45875
08638,0,2875,25,42425
08560,0,5350,25,15350
08421,875,3825,50,26550
13001,1250,14050,25,59100
20570,17375,24375,25,104475
47551,300,8725,0,178625
44874,4625,5650,100,22700
44110,5150,0,0,4275
47288,25975,1725,0,51600
13222,0,225,0,9750
08606,375,5400,475,31625
47675,0,3250,75,15700
08141,0,4725,50,9025
44855,11775,4450,0,16850
08436,0,5750,325,16375
13683,25,175,0,13225
13873,275,125,0,15900
47258,25,5500,0,45825
08137,0,1750,175,8100
20621,17325,35975,825,88500
13647,0,5375,0,14400
20443,4675,825,0,14850
13760,0,650,0,7225
13620,0,1350,50,3275
13836,0,725,0,18100
20238,12025,10625,0,80150
08675,0,1500,0,5500
47161,0,5700,25,14100
13140,0,3000,150,21500
20750,1900,12950,225,16475
08770,0,400,25,3200
13052,2475,7725,0,45850
13433,25,1725,0,39150
13838,0,2475,0,16475
47541,0,9125,150,23000
47170,250,400,0,48500
20013,17425,44125,1100,91675
13248,1825,2350,0,37175
70713,2525,3675,0,97100
13657,6400,975,0,58700
13442,50,3675,0,43775
20060,625,34750,1125,24725
47798,25,6850,75,53425
47555,350,16000,150,132950
47058,1800,24900,0,84125
20045,15325,17200,850,108100
13654,4025,150,0,40975
13244,10500,525,0,72700
20250,925,42100,50,47250
13894,6625,1375,0,21850
47707,225,26000,0,87650
47545,275,10825,0,66825
70508,1100,5500,0,44200
20400,7925,8600,225,55775
70230,2125,700,0,7175
13212,4350,21275,350,25125
70823,925,1175,0,25075
70204,2075,850,0,11000
20178,5925,24550,0,74875
20032,0,3575,0,55275
70717,0,20500,0,2175
20175,6725,9050,0,135475
70418,1175,12525,0,9950
70473,825,3100,0,13525
47692,150,2400,0,40200
47703,0,2425,0,25500
13430,0,47750,125,85350
70110,0,8225,0,3550
23672,425,275,0,22075
23675,825,1825,0,32800
70001,0,1625,0,29650
13780,0,1550,0,11575
70742,0,15875,0,22600
70523,25,425,0,24250
70702,0,13475,0,12000
20228,11550,5950,0,79425
47318,50,5200,0,51800
70215,0,16225,0,9850
47245,25,12750,0,69175
23500,0,75,0,28925
23417,175,5400,0,82600
23586,0,775,0,10675
23464,0,150,0,11825
13468,0,11650,0,50200
13188,0,625,0,6125
54245,117000,725,0,63325
23670,0,450,0,28425
54206,58125,200,0,37200
13650,0,14550,0,22100
70670,0,5425,0,18725
23168,100,5625,0,28425
13440,25,17775,0,25075
70235,0,5200,0,22850
23300,0,400,0,16800
23182,0,4650,0,54275
54800,57025,25,0,27625
23574,0,250,0,45850
54810,204325,3725,0,64100
70678,25,51325,25,102500
23686,0,125,0,44900
20787,0,15850,125,53575
13549,250,14450,0,62825
20517,3750,2400,0,39825
70771,325,26625,0,77600
23189,25,425,0,64175
13300,0,8525,0,6625
23660,0,725,0,88475
13268,2400,7075,0,41825
13667,1800,775,0,26875
23419,150,100,0,31475
23162,0,0,0,24925
13074,1425,6300,0,33825
23001,200,1075,0,309025
70124,0,20900,0,25175
05051,100,525,0,49625
20550,5175,2475,575,34850
70400,0,3225,0,20850
23678,0,175,0,49950
23090,0,0,0,49150
54250,35300,50,0,29950
13030,650,5350,0,21775
13580,0,3375,0,12050
05659,0,625,0,32275
13006,5325,28875,25,57250
20383,6225,9550,1400,64475
70429,150,44175,75,36425
70708,50,34175,25,80325
05490,10175,7475,0,103650
13600,80425,11925,0,87575
27006,55500,1375,0,26450
13810,36775,1225,0,50075
05665,1750,600,0,70850
23570,475,2875,0,87575
54670,15350,1075,0,28750
23555,25,25,0,103000
70265,1250,16075,50,20375
20011,2075,12925,0,78450
23068,900,28325,0,170600
54344,15900,175,0,20375
20295,0,16150,125,23725
13473,17150,25275,0,60275
13458,192750,100,0,13275
20310,425,2300,0,5775
54720,79325,250,0,57375
05837,54150,18575,0,254800
23855,4825,2775,0,87075
54001,13825,2700,15875,69450
54498,1350,4100,0,33350
13655,25375,15350,0,23200
54553,475,400,2800,5500
27800,50825,8600,0,55100
23079,50,1000,0,88300
23807,356300,10400,125,148300
54398,1100,4125,0,21925
20614,900,3175,25,43275
13042,9850,525,0,10925
54261,8950,750,1250,40850
54003,24000,13800,0,118350
05495,4275,9975,0,35725
54109,9025,100,0,14700
23466,54475,2975,0,175775
05250,136075,7150,0,53400
13744,11075,11700,0,158850
23350,0,25,0,31025
68575,18425,27100,0,126775
13688,181500,950,0,71000
20770,750,9400,0,74300
54871,5925,1675,0,31250
05045,22500,8350,0,27650
05154,3875,3200,0,127425
20710,10850,1175,100,64175
54418,3650,0,0,7250
54313,2725,0,0,13850
05120,50575,2600,0,154175
23580,67050,2900,50,71150
54680,1400,0,0,13925
54673,3950,650,250,10775
27615,549100,6275,0,54525
05147,2900,7575,0,14625
54660,29925,725,0,17550
54874,2050,350,0,8625
54128,15500,550,0,56825
54239,7700,0,0,10975
54405,1450,0,0,6225
54385,3150,975,0,50150
05172,13450,8025,0,53000
05790,86575,1200,0,90050
54099,10050,0,0,8550
68615,8950,2475,0,98225
54051,22625,2425,0,26300
05895,50200,4850,0,48775
68655,11325,4425,0,103050
54172,6275,25,0,12175
54599,1875,25,0,4850
68780,2750,0,0,14050
54223,17000,5675,0,17425
68255,14200,0,0,25275
54520,1725,450,0,15075
54347,5550,0,0,3100
13670,96500,675,0,18700
68132,3225,850,0,8350
27372,127550,0,0,11700
05736,101025,2850,0,19875
68867,3000,1325,0,11975
54820,87250,575,0,57525
68444,12850,75,0,15850
13160,76675,3875,0,29725
54518,2050,4700,0,22425
05040,83400,0,0,60100
05854,11050,175,0,42900
05361,144775,275,0,71225
68406,7575,1775,0,44725
54377,10875,2450,0,11900
54480,75,6875,0,7425
68169,1800,25,0,8825
54125,125,4975,0,8225
54743,975,29050,0,11900
05031,60025,200,0,59725
05893,30575,17150,0,137500
68307,7225,5950,0,53975
