MPIOS,Forest,Grasslands,Croplands,Other
44847,5600,582825,3250,154800
44560,0,150725,25,17750
44430,4975,105875,0,74025
44001,46975,61575,25,206950
44090,108700,27375,0,67475
47001,181825,18825,150,39200
44378,1675,4000,0,19125
44078,35050,15800,75,48150
47189,71975,4875,0,25100
08001,0,3025,225,8925
47745,0,17875,375,79925
08573,75,4775,200,3325
44098,10350,8350,150,19225
44279,9300,6550,125,15700
44650,17725,51050,475,71050
47570,2600,1525,0,21525
08832,375,1900,25,13975
08296,0,1475,0,9025
08758,0,875,0,4325
08433,0,1925,25,9200
08372,25,6050,50,12800
20001,36125,143200,875,210675
47053,71275,29125,0,77600
08078,50,375,0,13500
08634,0,1075,25,2200
08558,0,125,0,7425
08549,350,5200,125,18850
08849,225,200,0,9250
13673,200,1675,100,6350
08685,0,250,0,6075
08520,0,875,0,4850
47268,2450,3675,25,15750
47605,275,10375,700,45325
08638,0,3125,25,42175
08560,0,5575,25,15125
08421,825,4025,50,26400
13001,1000,14400,0,59025
20570,15800,24700,25,105725
47551,400,9325,0,177925
44874,4525,5575,100,22875
44110,5100,0,0,4325
47288,25725,2100,0,51475
13222,0,225,0,9750
08606,350,5550,450,31525
47675,0,3675,75,15275
08141,0,4825,50,8925
44855,11750,4375,0,16950
08436,0,5850,275,16325
13683,25,175,0,13225
13873,275,125,0,15900
47258,0,5775,0,45575
08137,0,1875,175,7975
20621,16750,35700,725,89450
13647,0,5675,0,14100
20443,4550,875,0,14925
13760,0,675,0,7200
13620,0,1325,50,3300
13836,0,750,0,18075
20238,11350,10800,0,80650
08675,0,1450,0,5550
47161,0,5575,25,14225
13140,0,3125,125,21400
20750,1800,13275,200,16275
08770,0,425,0,3200
13052,2425,8300,0,45325
13433,25,1775,0,39100
13838,0,2650,0,16300
47541,0,9525,75,22675
47170,175,400,0,48575
20013,16500,44025,975,92825
13248,1975,2575,0,36800
70713,2675,3875,0,96750
13657,6275,1025,0,58775
13442,75,3450,0,43975
20060,550,34525,1100,25050
47798,25,7425,50,52875
47555,275,17200,100,131875
47058,1650,24525,0,84650
20045,14350,16975,775,109375
13654,4125,200,0,40825
13244,9500,575,0,73650
20250,675,42300,25,47325
13894,6150,1500,0,22200
47707,100,26175,0,87600
47545,275,11825,0,65825
70508,1250,5525,0,44025
20400,7075,8325,300,56825
70230,2125,725,0,7150
13212,3900,22775,300,24125
70823,875,1125,0,25175
70204,1925,925,0,11075
20178,5675,25075,25,74575
20032,0,3975,0,54875
70717,0,20250,0,2425
20175,6125,9775,0,135350
70418,975,12425,0,10250
70473,700,3025,0,13725
47692,200,2275,0,40275
47703,0,2300,0,25625
13430,0,48800,125,84300
70110,0,8075,0,3700
23672,425,275,0,22075
23675,850,1825,0,32775
70001,0,1525,0,29750
13780,0,1525,0,11600
70742,0,15575,0,22900
70523,25,450,0,24225
70702,0,13050,0,12425
20228,10950,6025,0,79950
47318,50,5500,0,51500
70215,0,15775,0,10300
47245,25,13225,0,68700
23500,0,75,0,28925
23417,175,5575,0,82425
23586,0,800,0,10650
23464,0,175,0,11800
13468,0,11525,0,50325
13188,0,600,0,6150
54245,115900,800,0,64350
23670,0,425,0,28450
54206,57350,200,0,37975
13650,25,14575,0,22050
70670,0,5125,0,19025
23168,100,5850,0,28200
13440,0,19175,0,23700
70235,0,5250,0,22800
23300,25,425,0,16750
23182,0,4450,0,54475
54800,56250,50,0,28375
23574,0,250,0,45850
54810,201250,4075,0,66825
70678,50,51250,25,102550
23686,0,125,0,44900
20787,0,16450,125,52975
13549,375,14825,0,62325
20517,3675,2525,0,39775
70771,725,26775,0,77050
23189,75,325,0,64225
13300,0,8575,0,6575
23660,0,700,0,88500
13268,2225,8300,0,40775
13667,1825,825,0,26800
23419,175,100,0,31450
23162,0,0,0,24925
13074,1550,6150,0,33850
23001,175,1075,0,309050
70124,0,19925,0,26150
05051,50,625,0,49575
20550,5100,2475,525,34975
70400,0,3200,0,20875
23678,0,175,0,49950
23090,0,0,0,49150
54250,32525,75,0,32700
13030,650,4950,0,22175
13580,0,4600,0,10825
05659,0,725,0,32175
13006,5325,30800,0,55350
20383,5700,10225,1175,64550
70429,175,44100,50,36500
70708,50,33725,25,80775
05490,10000,6375,0,104925
13600,78850,11975,0,89100
27006,53725,850,0,28750
13810,35550,1725,0,50800
05665,1825,575,0,70800
23570,450,2750,0,87725
54670,14600,1150,0,29425
23555,25,50,0,102975
70265,1000,16800,50,19900
20011,1950,13000,0,78500
23068,675,29575,0,169575
54344,15175,325,0,20950
20295,0,16325,150,23525
13473,16875,26950,0,58875
13458,192200,175,0,13750
20310,375,2425,0,5700
54720,76700,225,0,60025
05837,51950,16525,0,259050
23855,4000,2650,0,88025
54001,13575,2525,16325,69425
54498,1450,4225,0,33125
13655,25150,15825,0,22950
54553,475,275,2975,5450
27800,50325,7750,0,56450
23079,25,975,0,88350
23807,350600,9650,125,154750
54398,1100,4575,0,21475
20614,875,3250,0,43250
13042,9425,525,0,11350
54261,8975,675,1250,40900
54003,23850,14575,0,117725
05495,3800,10350,0,35825
54109,8975,100,0,14750
23466,53050,2725,0,177450
05250,134350,7375,0,54900
13744,10750,12275,0,158600
23350,0,25,0,31025
68575,17475,28175,0,126650
13688,180675,875,0,71900
20770,725,9200,0,74525
54871,6050,1625,0,31175
05045,21675,7450,25,29350
05154,4100,3125,0,127275
20710,11125,1025,100,64050
54418,3725,0,0,7175
54313,2700,0,0,13875
05120,49925,2375,0,155050
23580,66700,2800,50,71600
54680,1400,0,0,13925
54673,4000,625,275,10725
27615,547925,7550,0,54425
05147,2400,7125,0,15575
54660,29850,700,0,17650
54874,2075,325,0,8625
54128,15475,575,0,56825
54239,7650,0,0,11025
54405,1500,0,0,6175
54385,3075,950,0,50250
05172,12900,7425,0,54150
05790,86225,1125,0,90475
54099,9975,0,0,8625
68615,8625,2050,0,98975
54051,22975,2600,0,25775
05895,49600,5150,0,49075
68655,10750,3975,0,104075
54172,6325,50,0,12100
54599,1925,25,0,4800
68780,2875,0,0,13925
54223,17300,6100,0,16700
68255,14275,0,0,25200
54520,1825,425,0,15000
54347,5550,0,0,3100
13670,96300,775,0,18800
68132,3200,800,0,8425
27372,127400,0,0,11850
05736,98025,3150,0,22575
68867,3225,1425,0,11650
54820,86525,625,0,58200
68444,12975,50,0,15750
13160,75825,4050,0,30400
54518,2075,4550,0,22550
05040,83675,0,0,59825
05854,10575,150,0,43400
05361,142400,375,0,73500
68406,7800,1925,0,44350
54377,10975,2450,0,11800
54480,75,6925,0,7375
68169,1850,25,0,8775
54125,100,5075,0,8150
54743,975,29150,0,11800
05031,59425,100,0,60425
05893,28525,18775,0,137925
68307,6950,5950,0,54250
05604,82750,12075,0,100475
68820,7125,9800,0,14350
05887,16425,25,0,58150
54174,47475,18975,0,50850
68001,650,125,0,16375
68081,8825,8150,0,110825
05107,10250,0,0,26250
05543,17600,375,0,21900
05234,137250,1375,75,46950
05134,2050,125,0,19400
68689,23475,125,25,82125
68276,1650,150,0,8200
68092,12950,1150,0,26725
68547,7950,5875,0,31775
05819,1775,0,0,12450
81001,5150,7250,0,509550
68705,9925,550,0,10500
05628,4700,1000,0,19875
81736,23925,925,0,61100
81065,22625,4025,0,283025
68318,5900,5075,0,14800
05842,7225,300,0,16975
15223,103925,10100,0,15600
05475,112050,700,400,17975
05647,5675,0,0,11500
05138,15725,50,0,31525
68162,300,22425,0,18000
68895,4575,6175,0,29350
05113,5600,225,0,25550
05858,12800,325,0,40625
05038,7275,325,0,29250
05315,75,100,0,8200
68745,24475,1975,0,71425
68669,2600,950,0,23025
05284,86175,600,0,46650
05658,4725,175,0,13025
05310,3175,950,0,35250
68207,1600,9050,0,21575
68418,0,13575,0,15300
27099,297125,1375,200,62600
68235,34600,200,0,62600
05686,2450,925,0,84950
