AREA,PERIMETER,WCOLGEN02_,WCOLGEN021,DPTO,NOMBRE_DPT,MPIO,NOMBRE_MPI,NOMBRE_CAB,CLASEMUN,MPIOS,ZONA,OF_REG,REG_ZONAS,HECTARES,_ID
603467597.545,106341.650868,942,51,52,NARIÑO,473,MOSQUERA,MOSQUERA,CM,52473,ZONA03,DACLI,DACLIZONA03,60346.76,937
496424029.462,157881.09616,943,1017,52,NARIÑO,390,LA TOLA,LA TOLA,CM,52390,ZONA03,DACLI,DACLIZONA03,49642.403,938
485585764.58,118156.692177,944,93,19,CAUCA,001,POPAYAN,POPAYAN,CM,19001,ZONA04,DACLI,DACLIZONA04,48558.576,939
700116320.2,113344.500018,945,67,41,HUILA,306,GIGANTE,GIGANTE,CM,41306,ZONA13,DABOG,DABOGZONA13,70011.632,940
1232314736.48,172645.504692,946,73,41,HUILA,396,LA PLATA,LA PLATA,CM,41396,ZONA14,DABOG,DABOGZONA14,123231.474,941
4342048501.98,391970.802952,947,1004,94,GUAINIA,883,SAN FELIPE,SAN FELIPE,CD,94883,ZONA16,DABOG,DABOGZONA16,434204.85,942
595819802.424,142768.255252,948,50,52,NARIÑO,490,OLAYA  HERRERA,BOCAS DE SATINGA,CM,52490,ZONA03,DACLI,DACLIZONA03,59581.98,943
303566546.669,76914.87642089999,949,124,19,CAUCA,807,TIMBIO,TIMBIO,CM,19807,ZONA04,DACLI,DACLIZONA04,30356.655,944
183021235.497,65986.5096777,950,76,41,HUILA,518,PAICOL,PAICOL,CM,41518,ZONA13,DABOG,DABOGZONA13,18302.124,945
626086015.7130001,150327.681737,951,52,52,NARIÑO,520,FRANCISCO PIZARRO,SALAHONDA,CM,52520,ZONA06,DACLI,DACLIZONA06,62608.602,946
472693827.29,139419.061024,952,121,19,CAUCA,760,SOTARA,PAISPAMBA,CM,19760,ZONA04,DACLI,DACLIZONA04,47269.383,947
621943781.92,106614.932864,953,128,19,CAUCA,585,PURACE,COCONUCO,CM,19585,ZONA04,DACLI,DACLIZONA04,62194.378,948
407910248.585,99080.980576,954,95,19,CAUCA,050,ARGELIA,ARGELIA,CM,19050,ZONA05,DACLI,DACLIZONA05,40791.025,949
250341518.296,79262.31798399999,955,989,41,HUILA,013,AGRADO,AGRADO,CM,41013,ZONA14,DABOG,DABOGZONA14,25034.152,950
2734560495.23,273494.966763,956,828,18,CAQUETA,592,PUERTO RICO,PUERTO RICO,CM,18592,ZONA15,DABOG,DABOGZONA15,273456.05,951
759383310.191,169868.079834,957,113,19,CAUCA,532,PATIA,EL BORDO,CM,19532,ZONA05,DACLI,DACLIZONA05,75938.33100000001,952
10622677296.3,640576.5838190001,958,1005,94,GUAINIA,887,PANA PANA,CAMPO ALEGRE,CD,94887,ZONA16,DABOG,DABOGZONA16,1062267.73,953
221557189.08,100754.471029,959,79,41,HUILA,548,PITAL,PITAL,CM,41548,ZONA14,DABOG,DABOGZONA14,22155.719,954
168391703.341,80707.3690124,960,116,19,CAUCA,622,ROSAS,ROSAS,CM,19622,ZONA05,DACLI,DACLIZONA05,16839.17,955
541398779.142,112703.284396,961,66,41,HUILA,298,GARZON,GARZON,CM,41298,ZONA14,DABOG,DABOGZONA14,54139.878,956
1197652001.83,177581.697948,962,54,52,NARIÑO,621,ROBERTO PAYAN,SAN JOSE,CM,52621,ZONA06,DACLI,DACLIZONA06,119765.2,957
286119319.188,93531.6039337,963,105,19,CAUCA,392,LA SIERRA,LA SIERRA,CM,19392,ZONA05,DACLI,DACLIZONA05,28611.932,958
1736069956.7,267173.832272,964,823,18,CAQUETA,247,EL DONCELLO,EL DONCELLO,CM,18247,ZONA15,DABOG,DABOGZONA15,173606.996,959
8755430418.84,1036465.91013,965,1028,95,GUAVIARE,025,EL RETORNO,EL RETORNO,CM,95025,ZONA16,DABOG,DABOGZONA16,875543.042,960
304128910.567,101179.287336,966,72,41,HUILA,378,LA ARGENTINA,LA ARGENTINA,CM,41378,ZONA14,DABOG,DABOGZONA14,30412.891,961
426634439.992,97729.4085376,967,96,19,CAUCA,075,BALBOA,BALBOA,CM,19075,ZONA05,DACLI,DACLIZONA05,42663.444,962
389256943.455,88657.02375979999,968,86,41,HUILA,791,TARQUI,TARQUI,CM,41791,ZONA14,DABOG,DABOGZONA14,38925.694,963
3598202763.32,261480.955131,969,56,52,NARIÑO,427,MAGUI,PAYAN,CM,52427,ZONA06,DACLI,DACLIZONA06,359820.276,964
259370872.213,73869.69508960001,970,75,41,HUILA,503,OPORAPA,OPORAPA,CM,41503,ZONA14,DABOG,DABOGZONA14,25937.087,965
567625320.118,128411.519409,971,47,52,NARIÑO,405,LEIVA,LEIVA,CM,52405,ZONA05,DACLI,DACLIZONA05,56762.532,966
512761395.429,105810.470904,972,106,19,CAUCA,397,LA VEGA,LA VEGA,CM,19397,ZONA05,DACLI,DACLIZONA05,51276.14,967
2025564911.53,227725.316977,973,818,18,CAQUETA,001,FLORENCIA,FLORENCIA,CM,18001,ZONA15,DABOG,DABOGZONA15,202556.491,968
393982701.376,93349.58905530001,974,82,41,HUILA,660,SALADOBLANCO,SALADOBLANCO,CM,41660,ZONA14,DABOG,DABOGZONA14,39398.27,969
447246599.624,90263.64107129999,975,68,41,HUILA,319,GUADALUPE,GUADALUPE,CM,41319,ZONA14,DABOG,DABOGZONA14,44724.66,970
1473418130.59,182925.060362,976,83,41,HUILA,668,SAN AGUSTIN,SAN AGUSTIN,CM,41668,ZONA14,DABOG,DABOGZONA14,147341.813,971
169100453.173,68654.13333159999,977,61,41,HUILA,026,ALTAMIRA,ALTAMIRA,CM,41026,ZONA14,DABOG,DABOGZONA14,16910.045,972
462517800.851,104517.063241,978,71,41,HUILA,359,ISNOS,SAN JOSE DE ISNOS,CM,41359,ZONA14,DABOG,DABOGZONA14,46251.78,973
3524236212.14,284664.946566,979,53,52,NARIÑO,835,TUMACO,TUMACO,CM,52835,ZONA07,DACLI,DACLIZONA07,352423.621,974
829406490.522,165335.659715,980,97,19,CAUCA,100,BOLIVAR,BOLIVAR,CM,19100,ZONA05,DACLI,DACLIZONA05,82940.649,975
96028841.27779999,52421.9596914,981,65,41,HUILA,244,ELIAS,ELIAS,CM,41244,ZONA14,DABOG,DABOGZONA14,9602.884,976
6402695461.72,441389.648668,982,1013,97,VAUPES,777,PAPUNAUA,MORICHAL,CD,97777,ZONA16,DABOG,DABOGZONA16,640269.546,977
310151271.373,76576.242191,983,85,41,HUILA,770,SUAZA,SUAZA,CM,41770,ZONA14,DABOG,DABOGZONA14,31015.127,978
