MPIOS,Forest,Grasslands,Croplands,Other
44847,2325,507225,25,236900
44560,0,148500,0,20000
44430,3350,118300,0,63225
44001,40225,68175,0,207125
44090,105775,27775,0,70000
47001,181000,19800,75,39125
44378,1450,4325,0,19025
44078,31000,20350,50,47675
47189,68825,5250,0,27875
08001,0,3025,75,9075
47745,50,21450,375,76300
08573,25,4625,50,3675
44098,9850,9125,0,19100
44279,9950,6700,125,14900
44650,18300,55750,300,65950
47570,1275,2000,0,22375
08832,75,2375,0,13825
08296,0,2775,25,7700
08758,0,1150,0,4050
08433,0,3475,0,7675
08372,0,6525,25,12375
20001,34125,146525,575,209650
47053,68700,29675,0,79625
08078,125,650,0,13150
08634,0,1200,50,2050
08558,0,275,0,7275
08549,125,6300,50,18050
08849,150,175,0,9350
13673,200,1975,25,6125
08685,0,650,0,5675
08520,0,975,75,4675
47268,2675,2700,0,16525
47605,475,16500,200,39500
08638,0,3825,0,41500
08560,0,5700,75,14950
08421,650,3550,0,27100
13001,875,16375,100,57075
20570,11525,22200,0,112525
47551,525,11625,0,175500
44874,4825,6675,175,21400
44110,5275,75,0,4075
47288,24500,3575,0,51225
13222,0,425,0,9550
08606,250,5300,125,32200
47675,0,5950,75,13000
08141,0,4250,0,9550
44855,11425,4375,125,17150
08436,0,6150,75,16225
13683,0,300,0,13125
13873,200,250,0,15850
47258,50,5475,0,45825
08137,0,2075,0,7950
20621,14775,37625,825,89400
13647,0,6075,25,13675
20443,4375,950,0,15025
13760,0,1225,0,6650
13620,0,1550,50,3075
13836,0,1475,0,17350
20238,7725,11150,0,83925
08675,0,1750,0,5250
47161,50,4525,0,15250
13140,0,3175,100,21375
20750,1275,15475,225,14575
08770,0,575,0,3050
13052,1775,13425,0,40850
13433,75,2725,0,38100
13838,0,3825,0,15125
47541,0,7200,25,25050
47170,0,575,0,48575
20013,14550,40500,675,98600
13248,1525,3475,0,36350
70713,2000,5100,0,96200
13657,3325,1450,0,61300
13442,275,4475,0,42750
20060,375,32400,875,27575
47798,0,9825,50,50500
47555,50,23300,0,126100
47058,1275,25550,0,84000
20045,12525,19125,350,109475
13654,1925,375,0,42850
13244,3150,2425,0,78150
20250,175,41525,25,48600
13894,1725,2175,0,25950
47707,50,28025,25,85775
47545,325,15500,0,62100
70508,200,6950,0,43650
20400,5200,8975,100,58250
70230,1325,1075,0,7600
13212,1900,25850,175,23175
70823,850,1275,0,25050
70204,1500,1375,0,11050
20178,4225,28875,0,72250
20032,0,5475,0,53375
70717,0,20225,0,2450
20175,3825,14575,0,132850
70418,575,13825,0,9250
70473,250,3175,0,14025
47692,175,4050,0,38525
47703,25,4125,0,23775
13430,125,53525,0,79575
70110,0,7600,0,4175
23672,475,450,0,21850
23675,1050,1125,0,33275
70001,0,2125,0,29150
13780,0,3950,0,9175
70742,0,15575,0,22900
70523,25,450,0,24225
70702,0,13150,0,12325
20228,7375,8725,25,80800
47318,0,8500,25,48525
70215,0,15350,0,10725
47245,0,17675,0,64275
23500,0,75,0,28925
23417,275,5150,0,82750
23586,0,925,0,10525
23464,0,275,0,11700
13468,0,19575,0,42275
13188,0,2450,0,4300
54245,108150,1275,0,71625
23670,0,325,0,28550
54206,52850,450,0,42225
13650,0,18800,0,17850
70670,0,4725,0,19425
23168,0,8125,0,26025
13440,0,19650,0,23225
70235,0,7575,0,20475
23300,0,1625,0,15575
23182,0,3925,0,55000
54800,50975,125,0,33575
23574,0,300,0,45800
54810,174150,4800,0,93200
70678,1075,52250,0,100550
23686,0,175,0,44850
20787,0,21900,375,47275
13549,425,21850,0,55250
20517,2850,3300,0,39825
70771,1350,30900,0,72300
23189,150,475,0,64000
13300,0,9450,0,5700
23660,0,775,0,88425
13268,1500,13325,0,36475
13667,2150,1575,0,25725
23419,75,200,0,31450
23162,0,0,0,24925
13074,1900,7425,0,32225
23001,325,1125,0,308850
70124,650,17975,0,27450
05051,400,650,0,49200
20550,3600,2450,0,37025
70400,0,3350,0,20725
23678,0,175,0,49950
23090,50,0,0,49100
54250,21250,375,0,43675
13030,550,8675,0,18550
13580,25,4700,75,10625
05659,25,1025,0,31850
13006,4775,31500,0,55200
20383,3600,14400,0,63650
70429,50,40325,0,40450
70708,475,34325,0,79775
05490,9525,4850,0,106925
13600,68700,14900,0,96325
27006,53000,1025,0,29300
13810,34900,2025,0,51150
05665,1850,450,0,70900
23570,150,1875,0,88900
54670,11575,2450,0,31150
23555,125,75,0,102850
70265,700,19400,25,17625
20011,1325,14075,0,78050
23068,625,34950,0,164250
54344,12400,1200,0,22850
20295,0,18525,150,21325
13473,12325,24575,0,65800
13458,187425,550,0,18150
20310,250,2875,0,5375
54720,63800,175,0,72975
05837,43950,11850,0,271725
23855,2075,1275,0,91325
54001,10200,4475,16700,70475
54498,1075,5850,0,31875
13655,21800,16300,100,25725
54553,375,225,3075,5500
27800,48550,6050,0,59925
23079,25,550,0,88775
23807,341625,6775,0,166725
54398,950,8200,0,18000
20614,675,5775,0,40925
13042,9125,475,0,11700
54261,7375,1700,1500,41225
54003,22700,26175,0,107275
05495,4250,9775,0,35950
54109,8600,375,0,14850
23466,53675,2600,0,176950
05250,125825,8900,0,61900
13744,7400,16800,0,157425
23350,0,50,0,31000
68575,4300,26125,0,141875
13688,177000,1650,0,74800
20770,700,10750,100,72900
54871,6300,3350,0,29200
05045,17075,6225,0,35200
05154,6275,3500,0,124725
20710,10475,1350,200,64275
54418,3725,0,0,7175
54313,2150,0,0,14425
05120,50725,2575,0,154050
23580,69150,2100,25,69875
54680,1150,0,0,14175
54673,2825,800,125,11875
27615,539525,5725,0,64650
05147,1750,6275,0,17075
54660,29500,450,0,18250
54874,1850,625,0,8550
54128,14500,900,0,57475
54239,6625,0,0,12050
54405,900,100,0,6675
54385,2850,2100,25,49300
05172,12125,5200,0,57150
05790,95300,650,0,81875
54099,9375,25,0,9200
68615,7500,3250,0,98900
54051,22750,2875,0,25725
05895,45000,6100,0,52725
68655,12400,4100,0,102300
54172,6000,100,0,12375
54599,2075,25,0,4650
68780,2725,25,0,14050
54223,17275,6450,0,16375
68255,14300,0,0,25175
54520,1975,900,0,14375
54347,5375,0,0,3275
13670,94625,850,0,20400
68132,3300,950,0,8175
27372,127250,0,0,12000
05736,83850,6000,0,33900
68867,3100,1850,0,11350
54820,84575,450,0,60325
68444,12950,0,0,15825
13160,71625,3025,0,35625
54518,2225,4525,0,22425
05040,81025,175,0,62300
05854,11300,225,0,42600
05361,144425,225,0,71625
68406,8900,3700,0,41475
54377,11600,1875,0,11750
54480,100,7475,0,6800
68169,2175,100,0,8375
54125,225,5025,0,8075
54743,975,31725,0,9225
05031,54600,725,0,64625
05893,21600,21825,0,141800
68307,7400,9800,0,49950
05604,61200,19400,0,114700
68820,7975,9625,0,13675
05887,18875,125,0,55600
54174,48525,18975,0,49800
68001,950,375,0,15825
68081,8725,10200,0,108875
05107,10325,100,0,26075
05543,17925,325,0,21625
05234,134175,825,50,50600
05134,1725,175,0,19675
68689,21550,500,0,83700
68276,1550,250,0,8200
68092,13925,1425,0,25475
68547,8100,7300,0,30200
05819,1550,0,0,12675
81001,4675,11050,25,506200
68705,10175,750,0,10050
05628,5000,1125,0,19450
81736,23700,2175,0,60075
81065,19775,5450,0,284450
68318,5450,5375,0,14950
05842,6125,300,0,18075
15223,103550,9750,0,16325
05475,110375,475,175,20100
05647,5700,25,0,11450
05138,15550,25,0,31725
68162,325,25550,0,14850
68895,5100,8625,0,26375
05113,6100,400,0,24875
05858,10350,500,0,42900
05038,7250,400,0,29200
05315,75,175,0,8125
68745,22300,3900,0,71675
68669,2800,1125,0,22650
05284,86325,325,0,46775
05658,4550,125,0,13250
05310,3475,1050,0,34850
68207,1550,10450,0,20225
68418,0,14475,0,14400
27099,313000,775,100,47425
68235,34250,375,0,62775
05686,2875,1575,0,83875
68573,7075,6200,0,67625
81300,50850,23300,0,98250
05873,152125,650,1200,25375
15180,9400,35950,0,28675
05150,5025,0,0,12375
05890,12850,925,0,76675
68051,25,4100,0,11500
27075,83450,75,125,14500
68160,250,2250,0,11225
05411,3675,1125,0,19475
05086,11425,425,0,19525
05885,6950,425,0,42200
68296,7350,550,0,11175
68432,700,125,0,4825
68190,18550,4200,0,262925
68872,0,8200,0,1825
05004,13625,25,0,15000
68152,3275,5825,0,14925
05579,11725,6625,0,97200
68370,0,1875,0,2275
15332,11250,30950,0,46850
05306,2225,550,0,7500
68079,0,4225,0,5150
68266,0,2125,0,8300
68468,400,6075,0,12125
81220,5050,6525,0,567450
81794,141500,64875,100,338625
68684,125,1850,0,6025
05264,2850,1725,0,14925
68229,150,6950,0,13400
81591,2525,800,0,226550
05501,850,1250,0,10050
05042,4925,1300,0,38750
68121,0,775,0,9750
68679,0,2900,0,12375
05425,2625,925,0,39575
68464,8375,1025,0,41450
68344,8525,0,0,8050
05761,25,375,0,18650
68686,550,1325,0,5200
05847,187525,3475,225,76200
68147,0,8250,0,4650
05190,75,0,0,3950
68425,1500,3950,0,5750
15218,175,1050,0,8700
05237,825,200,0,17650
05690,675,50,0,25750
68549,0,225,0,4000
68522,0,25,0,1825
68682,2725,450,0,11100
68502,6075,5225,0,26450
05670,5000,125,0,38725
68861,4700,0,0,31850
68385,14750,100,0,43250
68755,0,50,0,12100
05125,7475,150,0,15025
05079,700,25,0,21575
15248,425,1850,0,5825
05664,525,3375,0,17925
05656,125,75,0,15150
68720,13225,25,0,28100
68533,0,0,0,6375
15317,1400,100,0,5525
68855,25,50,0,8175
15673,1050,1150,0,9675
68176,7025,0,0,13150
15522,500,1100,0,2400
15810,2475,1800,0,2875
05142,6625,175,0,24450
05206,500,0,0,15175
05308,25,0,0,8450
15097,0,10825,0,7325
05212,50,25,0,6550
05088,1575,1325,0,12450
05240,400,375,0,21575
68524,0,450,0,8450
05044,1200,600,0,20675
05021,2025,0,0,11300
15244,0,10325,0,7850
05667,10275,0,0,27250
68209,25,25,0,5450
68498,50,50,0,5150
05001,6075,0,0,30600
05674,0,75,0,20700
68217,22100,3450,0,30275
68211,3800,0,0,6125
68397,12875,75,0,25325
68167,16500,75,0,35150
15753,3300,4200,0,6850
68322,0,150,0,6825
05541,475,0,0,14575
27001,295275,1150,200,57600
15403,275,8975,0,10800
68500,1050,0,0,23275
05649,35325,125,0,41825
05318,1850,25,0,14350
68245,2975,0,0,9100
99001,22775,380675,0,551025
68320,675,300,0,15325
05321,325,50,0,7775
05093,1850,800,0,23200
05347,1575,0,0,9875
15183,10050,19475,0,27425
15774,1625,11350,0,8600
68101,51850,175,0,113300
05585,2775,2450,0,49575
15572,10675,2950,0,132100
85125,14525,12300,0,485275
05440,0,0,0,11600
05059,0,675,0,12525
05615,450,250,0,21000
85136,7875,1850,0,5625
05313,1500,25,0,20725
05607,10100,25,0,16950
68013,25,0,0,4650
05360,0,0,0,2375
05266,775,0,0,4000
99524,10600,384425,0,1647450
05036,3225,0,0,5675
68264,17500,6100,0,19875
05380,2200,0,0,1550
68770,4875,0,0,31475
15368,0,7800,0,5700
68250,25200,100,0,11100
05209,925,275,0,19125
05631,25,0,0,2075
05697,0,0,0,6525
15720,75,7275,0,7100
68673,0,0,0,4650
15839,25,5600,0,9875
05809,150,75,0,14550
05148,24550,425,0,17800
05660,24775,0,0,20025
15755,15425,17475,0,31325
05129,7450,0,0,7975
68179,675,100,0,8975
05642,21425,0,0,23800
85315,25650,775,0,2425
68773,16600,75,0,20650
05197,7075,0,0,19600
85250,21525,43775,0,1190625
15686,0,0,0,7275
05030,1325,0,0,9000
15723,0,2850,0,2700
68327,0,0,0,3550
15537,575,4450,0,6225
05376,200,0,0,13375
27025,163925,425,0,48125
15757,375,7875,0,10050
05400,750,825,0,18725
15087,1550,3625,0,10350
15185,3850,0,0,9875
15664,25,0,0,10100
05591,1375,600,0,33950
85400,47825,475,0,62750
68298,9050,25,0,34950
05861,275,150,0,14100
27495,70525,25,25,14625
68077,0,0,0,3400
68377,20500,0,0,15925
05679,1125,0,0,19875
68324,0,0,0,7275
27245,51375,500,50,10775
15162,200,2275,0,3050
15516,8575,10950,0,22550
15238,4375,8975,0,15025
05467,50,0,0,8025
05282,200,275,0,22450
15693,175,2950,0,4450
05652,29275,0,0,6650
15092,25,5075,0,7875
15816,675,0,0,7425
15469,1500,0,0,19950
05792,650,0,0,13550
15790,0,8525,0,12350
05101,15275,0,0,26175
68572,75,950,0,25075
05002,2075,150,0,49100
05756,46750,750,0,84200
68368,475,0,0,13175
15276,275,4975,0,4750
15507,24650,0,0,26925
05576,375,0,0,11475
05368,2300,0,0,15600
68271,7375,25,0,8425
68020,1500,25,0,17875
15215,25,2175,0,4225
15763,6850,10750,0,10825
15114,125,825,0,675
15550,16325,250,0,17125
05390,0,75,0,7200
15051,2750,2925,0,10875
25885,8525,75,0,84750
15296,675,2900,0,9450
85263,400,5075,525,72975
05353,25,0,0,4575
15533,17025,100,0,40425
15531,9150,0,25,18950
05789,7000,75,0,18575
05091,13075,50,0,9825
15293,0,4400,0,4775
15204,1475,11250,0,6100
15491,0,1800,0,3350
15806,0,7150,0,4525
25572,1050,3425,25,52600
15696,0,1750,0,5650
15820,50,675,0,2700
15632,950,2100,0,25550
05034,35600,125,0,18500
05055,12100,50,0,11300
15681,5650,25,0,12975
15464,3975,10375,0,22150
15759,0,10150,0,10850
05856,250,0,0,8600
27413,47000,200,0,14350
17013,7200,75,0,43275
15832,525,0,0,2225
15466,0,3650,0,2025
15176,250,2425,0,10475
15106,375,0,0,5100
15837,0,12875,0,2300
85225,300,24025,3775,77525
15407,0,4325,0,7050
15272,0,7175,0,1975
15776,0,2550,0,8075
15476,200,3800,0,2575
05364,9825,0,0,14200
05483,14700,25,0,16025
15377,21450,5000,0,37525
15232,250,1150,0,2475
27073,101725,125,75,11350
15442,1400,0,0,14925
15580,2150,0,0,7475
15500,0,4125,0,1375
15047,21475,26375,0,43375
15362,0,3200,0,1375
15814,0,12775,0,3075
15762,0,325,0,2700
15001,0,9425,0,13000
15808,0,400,0,6975
15542,2675,15325,0,11450
15187,0,5900,0,350
15131,100,225,25,8600
15638,0,1900,0,4775
15676,375,3775,0,6350
05145,2375,0,0,5625
15480,2275,25,0,14900
15226,0,2750,0,1875
17513,400,0,0,28650
17867,7925,25,0,45125
25745,175,2350,0,8225
15600,1125,1925,0,18050
27077,255125,400,100,63350
15224,0,1200,0,2200
85325,2600,14825,900,307850
15822,3675,9875,0,4900
85001,4875,11725,500,237000
25148,800,175,0,58750
85430,8200,14250,175,284175
15646,675,5775,0,10200
99624,5200,37875,0,393150
17541,25650,550,0,31475
17614,18550,0,0,17050
15740,375,7000,0,7575
15401,800,0,0,3725
15109,850,0,0,8075
17442,0,0,0,4050
17777,0,0,0,11300
15212,2750,0,0,14925
15764,0,1175,0,3500
25779,125,1125,0,10375
66456,46150,0,0,11000
25317,75,5700,0,12300
25288,0,1125,0,6350
15879,200,1100,0,4725
17653,2400,125,0,35375
99773,3805750,797375,150,1968125
25154,1050,5275,0,24600
25518,4575,0,0,12700
15621,4425,450,0,13725
15104,0,175,0,5675
17388,0,0,0,9125
25394,1400,0,0,19675
27135,36775,1000,0,13825
15518,10675,400,0,16300
15861,25,1925,0,16525
25320,475,6475,75,72375
25653,2775,50,0,23775
25823,1900,0,0,13650
15599,2275,350,0,11375
15189,275,550,0,4500
66572,80300,2175,300,11050
15367,0,200,0,4600
