MPIOS,Forest,Grasslands,Croplands,Other
44847,500,398800,450,346725
44560,0,150800,0,17700
44430,3475,115125,0,66275
44001,43775,83825,25,187900
44090,110225,29275,0,64050
47001,184200,23050,225,32525
44378,1050,7875,0,15875
44078,33825,18725,100,46425
47189,77575,5275,25,19075
08001,0,2825,350,9000
47745,0,19375,1600,77200
08573,25,5025,325,3000
44098,8725,8000,0,21350
44279,8200,8350,50,15075
44650,14700,53025,225,72350
47570,2775,2850,0,20025
08832,225,3275,50,12725
08296,0,2150,25,8325
08758,0,1275,0,3925
08433,0,2825,0,8325
08372,175,8525,125,10100
20001,38350,159800,500,192225
47053,74300,32975,0,70725
08078,100,1650,0,12175
08634,0,1150,0,2150
08558,0,525,0,7025
08549,350,8775,100,15300
08849,100,525,0,9050
13673,150,1325,75,6775
08685,0,250,0,6075
08520,0,850,75,4800
47268,2275,5875,0,13750
47605,200,11075,275,45125
08638,0,4575,100,40650
08560,0,6650,0,14075
08421,850,4200,125,26125
13001,1175,16350,75,56825
20570,19675,28050,0,98525
47551,400,9375,0,177875
44874,3900,8250,75,20850
44110,4975,75,0,4375
47288,26275,1975,0,51050
13222,0,225,0,9750
08606,150,7075,325,30325
47675,0,5700,25,13300
08141,0,5425,0,8375
44855,11125,5200,0,16750
08436,0,7475,325,14650
13683,25,175,0,13225
13873,575,200,0,15525
47258,0,6000,0,45350
08137,0,2500,75,7450
20621,17025,42450,50,83100
13647,0,6875,0,12900
20443,5200,725,0,14425
13760,0,1950,25,5900
13620,0,1750,50,2875
13836,0,850,0,17975
20238,11725,14225,0,76850
08675,0,1600,0,5400
47161,0,6675,50,13100
13140,0,4750,100,19800
20750,1350,14650,25,15525
08770,0,350,0,3275
13052,2750,8750,0,44550
13433,75,2575,0,38250
13838,0,2500,0,16450
47541,0,13625,325,18325
47170,725,350,0,48075
20013,16825,51425,350,85725
13248,650,3275,0,37425
70713,1425,5475,0,96400
13657,4375,650,0,61050
13442,325,5300,0,41875
20060,500,37750,1175,21800
47798,75,8300,75,51925
47555,550,18925,75,129900
47058,2000,32750,0,76075
20045,16375,22925,600,101575
13654,2450,325,0,42375
13244,8950,800,0,73975
20250,775,45850,125,43575
13894,5600,1825,0,22425
47707,375,29625,25,83850
47545,375,13500,0,64050
70508,700,6425,0,43675
20400,6375,9250,75,56825
70230,1675,800,0,7525
13212,2800,22000,250,26050
70823,950,2350,0,23875
70204,2025,1200,0,10700
20178,5050,25475,0,74825
20032,0,5275,0,53575
70717,0,21300,0,1375
20175,7075,8075,0,136100
70418,875,13925,0,8850
70473,675,3775,0,13000
47692,0,2850,0,39900
47703,25,3150,0,24750
13430,100,54350,125,78650
70110,0,9975,0,1800
23672,0,575,0,22200
23675,650,2300,0,32500
70001,0,2850,0,28425
13780,0,4475,25,8625
70742,0,24100,0,14375
70523,25,725,0,23950
70702,0,17700,0,7775
20228,13000,7000,50,76875
47318,25,4475,0,52550
70215,0,17475,0,8600
47245,75,13450,0,68425
23500,0,175,0,28825
23417,175,4900,0,83100
23586,0,900,0,10550
23464,0,200,0,11775
13468,0,21800,150,39900
13188,0,2425,0,4325
54245,118575,1675,0,60800
23670,0,1500,0,27375
54206,65000,275,0,30250
13650,0,16550,0,20100
70670,0,8200,0,15950
23168,100,8150,0,25900
13440,0,12125,0,30750
70235,0,6950,0,21100
23300,0,125,0,17075
23182,0,8300,0,50625
54800,66150,350,0,18175
23574,0,250,0,45850
54810,201125,6950,0,64075
70678,0,69100,25,84750
23686,0,200,0,44825
20787,0,18675,275,50600
13549,150,20275,0,57100
20517,3550,2700,50,39675
70771,0,39575,25,64950
23189,100,475,0,64050
13300,0,9100,0,6050
23660,0,1425,0,87775
13268,2000,7025,0,42275
13667,1900,1125,0,26425
23419,0,75,0,31650
23162,25,100,0,24800
13074,1525,8125,0,31900
23001,225,1025,0,309050
70124,0,22200,0,23875
05051,625,175,0,49450
20550,4175,2825,675,35400
70400,0,4000,0,20075
23678,0,200,0,49925
23090,175,0,0,48975
54250,52225,250,0,12825
13030,750,11550,0,15475
13580,0,1250,50,14125
05659,525,275,0,32100
13006,5900,30250,125,55200
20383,5575,10500,1200,64375
70429,150,40950,75,39650
70708,100,39375,75,75025
05490,15475,7275,0,98550
13600,88325,14375,0,77225
27006,63775,2475,0,17075
13810,40675,1475,0,45925
05665,1675,0,0,71525
23570,275,3200,0,87450
54670,24175,1500,0,19500
23555,25,0,0,103025
70265,2125,17125,150,18350
20011,2625,14850,0,75975
23068,1050,30725,25,168025
54344,19600,700,0,16150
20295,0,17525,25,22450
13473,18825,20000,50,63825
13458,196050,125,0,9950
20310,425,2575,0,5500
54720,93925,600,0,42425
05837,82950,24925,200,219450
23855,6025,900,0,87750
54001,16000,8550,14925,62375
54498,1100,5025,0,32675
13655,27250,18675,0,18000
54553,775,1175,1825,5400
27800,54050,13650,0,46825
23079,25,575,0,88750
23807,382900,6100,800,125325
54398,775,3950,0,22425
20614,700,5100,50,41525
13042,10500,450,0,10350
54261,9050,2250,1000,39500
54003,27500,16850,0,111800
05495,5850,10625,0,33500
54109,9825,75,0,13925
23466,60700,1750,50,170725
05250,152625,8450,0,35550
13744,14600,11450,0,155575
23350,25,0,0,31025
68575,16525,27925,0,127850
13688,189200,1325,0,62925
20770,475,10925,225,72825
54871,6375,1775,0,30700
05045,37125,9425,300,11650
05154,5450,3900,0,125150
20710,11175,3325,550,61250
54418,4300,0,0,6600
54313,3750,0,0,12825
05120,58500,4050,0,144800
23580,71825,3250,250,65825
54680,1350,25,0,13950
54673,4800,1475,175,9175
27615,564300,6600,150,38850
05147,8050,9100,450,7500
54660,31475,875,0,15850
54874,2550,975,0,7500
54128,16550,1375,0,54950
54239,8100,0,0,10575
54405,1400,50,0,6225
54385,4625,2925,0,46725
05172,17300,6450,50,50675
05790,102800,1375,25,73625
54099,11125,0,0,7475
68615,9925,6675,0,93050
54051,22200,3025,0,26125
05895,60975,4925,0,37925
68655,13500,6225,0,99075
54172,7200,75,0,11200
54599,2125,0,0,4625
68780,2500,0,0,14300
54223,16075,6025,0,18000
68255,15250,150,0,24075
54520,1775,1650,0,13825
54347,5725,25,0,2900
13670,99500,825,0,15550
68132,2875,1400,0,8150
27372,128075,0,0,11175
05736,110850,2750,0,10150
68867,2450,2475,0,11375
54820,93800,475,0,51075
68444,15125,150,0,13500
13160,77925,2525,0,29825
54518,1500,5900,0,21775
05040,94550,75,0,48875
05854,19800,150,0,34175
05361,159875,425,25,55950
68406,7575,3775,0,42725
54377,12300,2200,0,10725
54480,0,8425,0,5950
68169,1725,250,0,8675
54125,125,5025,0,8175
54743,700,30525,0,10700
05031,68075,800,0,51075
05893,37400,18700,0,129125
68307,8175,9475,0,49500
05604,121500,5975,0,67825
68820,6200,10600,0,14475
05887,17600,125,0,56875
54174,47250,20100,0,49950
68001,850,825,0,15475
68081,12300,10025,0,105475
05107,15475,25,0,21000
05543,20850,175,0,18850
05234,152450,2150,900,30150
05134,2950,225,0,18400
68689,40550,275,0,64925
68276,1775,825,0,7400
68092,15925,2875,0,22025
68547,8025,7475,0,30100
05819,2125,0,0,12100
81001,4750,8850,0,508350
68705,9300,700,0,10975
05628,5025,625,0,19925
81736,25275,1375,0,59300
81065,24450,7725,0,277500
68318,5150,5650,0,14975
05842,9750,425,0,14325
15223,106150,11275,0,12200
05475,118400,575,575,11575
05647,5525,25,0,11625
05138,16650,75,0,30575
68162,175,24325,0,16225
68895,6400,9375,0,24325
05113,5325,275,0,25775
05858,19850,375,0,33525
05038,7425,1150,0,28275
05315,175,250,0,7950
68745,34100,2150,0,61625
68669,2450,1775,0,22350
05284,95525,775,125,37000
05658,4000,475,0,13450
05310,3325,1750,0,34300
68207,1200,10500,0,20525
68418,0,16425,0,12450
27099,337325,1150,1025,21800
68235,49425,800,0,47175
05686,1975,800,0,85550
68573,16450,5625,0,58825
81300,53450,30550,0,88400
05873,160350,1500,1700,15800
15180,8675,32775,0,32575
05150,4125,50,0,13225
05890,22525,1475,0,66450
68051,0,4775,0,10850
27075,86500,275,500,10875
68160,175,3250,0,10300
05411,4250,750,0,19275
05086,10325,400,0,20650
05885,14975,475,0,34125
68296,7875,575,0,10625
68432,550,350,0,4750
